year,month,day,hour,minute,latitude,longitude,depth,magnitude
2000,1,3,2,38,9.67,126.11,19,5
2000,1,6,21,31,16.25,119.78,37,5.9
2000,2,3,13,42,13.64,121.48,2,5
2000,2,13,18,19,5.29,127.44,154,5.9
2000,2,27,12,3,10.64,121.8,12,5
2000,3,21,5,26,4.05,127.84,77,5.9
2000,4,3,15,19,3.75,125.98,120,5.6
2000,4,13,13,12,10.32,126.91,17,5.7
2000,4,13,20,54,10.24,126.62,25,5.5
2000,5,8,10,25,11.03,124.84,6,5
2000,5,8,13,54,10.99,124.67,1,5.1
2000,6,7,16,45,4.91,126.59,32,5.2
2000,6,8,3,52,5.45,125.43,180,5.1
2000,6,11,21,29,10.11,126.2,2,5.1
2000,6,14,1,44,17.3,120.27,42,5.7
2000,6,14,17,0,4.49,127.35,69,5.9
2000,6,19,1,59,16.85,120.43,1,5.7
2000,6,19,9,34,14.09,120.33,108,5.6
2000,7,4,22,19,20.38,122.15,34,5.2
2000,7,11,16,3,6.2,126.22,15,5.1
2000,7,16,3,21,20.33,122.21,15,6.4
2000,7,18,13,10,11.19,126.16,33,5.1
2000,7,18,22,59,17.97,120.68,41,5.6
2000,8,1,7,10,15.1,122.31,81,5.7
2000,8,16,18,34,6.19,124.88,24,5.1
2000,8,20,7,55,7.43,126.51,180,5.4
2000,8,28,3,36,4.08,127.05,33,5.7
2000,8,31,8,24,4.88,123.26,597,5.1
2000,9,8,22,41,6.96,121.87,39,5.1
2000,9,29,22,48,12.25,122.42,20,5
2000,10,5,20,6,6.46,127.06,36,5.6
2000,10,8,3,36,9.75,125.55,12,5.4
2000,10,12,23,25,12.32,124.72,20,5.1
2000,10,21,22,30,13.71,120.62,130,5.3
2000,10,22,1,21,7.09,126.65,65,5
2000,11,4,12,38,5.58,125.97,67,5.5
2000,11,30,20,1,10.7,126.51,32,5
2000,12,5,11,8,4.16,126.93,4,5.5
2000,12,21,16,42,7.21,126.7,11,5
2001,1,1,6,57,6.79,126.78,20,7.2
2001,1,1,7,10,6.63,127.09,45,5.2
2001,1,1,9,34,6.88,127.18,9,5.2
2001,1,2,7,30,6.48,127.23,47,6.2
2001,1,5,1,41,6.81,127.46,30,5
2001,1,5,22,51,6.78,127.59,23,5.2
2001,1,6,4,45,6.56,126.93,15,5.4
2001,1,8,4,20,5.49,127.52,33,5.5
2001,1,12,19,18,17.31,120.51,20,5.1
2001,1,21,4,44,10.17,126.3,1,5.3
2001,2,17,17,49,20.4,122.32,33,5.5
2001,2,21,22,50,6.64,127.14,52,5.4
2001,2,28,9,35,6.45,127.35,72,5.2
2001,4,17,9,5,10.05,126.65,27,5.4
2001,5,11,2,25,16.56,121.11,1,5
2001,7,8,17,17,13.59,120.84,8,5
2001,12,4,18,9,19.03,119.88,17,5.1
2002,1,1,11,29,6.1,125.85,126,5.6
2002,3,5,21,16,5.88,124.22,5,6.8
2002,3,10,5,24,20.4,121.99,26,5.6
